A A A A	65.3	0	44.1	48.8	0	1.1	3.6	2.4	0	0	0	100	K K J 2	34.7	0	24.4	38.6	16.3	5.1	3.3	10.9	1.3	0.1	0	100	
A A A A	56.1	0	44.4	46.6	0	1.6	5	2.4	0	0	0	100	K K 10 10	43.9	0	19.4	29.2	21.8	6.5	4.4	16	2.7	0	0	100	
A A A A	60.5	0	41.7	49.3	0	1.6	4.9	2.5	0	0	0	100	K K 10 9	39.5	0	21.2	35.1	14.7	11.1	4.3	12.5	1	0.1	0	100	
A A A A	62.1	0	41.6	50.8	0	1.9	3.7	2	0	0	0	100	K K 10 8	37.9	0	22.4	37.3	14.8	10.8	3.4	10.1	1.1	0.1	0	100	
A A A A	61.4	0	42.5	47.4	0	1.3	5	3.8	0	0	0	100	K K 10 7	38.6	0	22.3	35.2	14.4	9.8	4.6	11.9	1.8	0	0	100	
A A A A	60.4	0	45.8	44.9	0	1	5	3.3	0	0	0	100	K K 10 6	39.6	0	23.4	33.3	15.7	9.8	4.8	11.6	1.4	0	0	100	
A A A A	63.8	0	44.3	47.2	0	1	4.5	3	0	0	0	100	K K 10 5	36.2	0	23.9	36.2	16.7	5.3	4.4	12.4	1.1	0	0	100	
A A A A	63.7	0	44	47.6	0	1.6	3.7	3	0	0.1	0	100	K K 10 4	36.3	0	23.8	37.7	14.2	8.2	3.4	11.4	1.2	0.1	0	100	
A A A A	67.5	0	41.8	49.1	0	1.7	4.8	2.6	0	0	0	100	K K 10 3	32.5	0	22.6	41.1	16.5	5.4	4.8	8.4	1.2	0	0	100	
A A A A	65	0	42.5	50.5	0	1.2	4.1	1.7	0	0	0	100	K K 10 2	35	0	24.7	38.8	15.6	6	3.5	10.4	1	0	0	100	
A A A A	56.9	0	43.9	47.1	0	1.8	4	3.2	0	0	0	100	K K 9 9	43.1	0	19.7	29.8	21.4	6	3.7	16.8	2.5	0.1	0	100	
A A A A	60.1	0	43.5	47.4	0	1	5	3.1	0	0	0	100	K K 9 8	39.9	0	22.7	33.5	13.3	12.1	4.8	11.6	1.9	0.1	0	100	
A A A A	59.7	0	45.2	47.1	0	0.8	4.2	2.6	0	0.1	0	100	K K 9 7	40.3	0	22.3	34.8	14.3	12.7	4	10.6	1.3	0	0	100	
A A A A	60.9	0	45	46.7	0	1.4	4.2	2.7	0	0	0	100	K K 9 6	39.1	0	22.8	35.5	14.8	11.4	3.9	10.7	0.9	0	0	100	
A A A A	63.7	0	42.5	48.3	0	1.6	3.9	3.7	0	0	0	100	K K 9 5	36.3	0	23.1	35.5	15.8	8.3	3.8	12.2	1.2	0.1	0	100	
