Q 8	54.2591	36.1163	26.777	21.5227	17.8382	15.0086	12.9912	11.4843	10.141	57.2221	40.0763	30.8889	26.3493	22.6342	19.7828	17.6298	16.0934	14.9056
Q 7	52.459	33.9715	24.8138	19.4636	16.0268	13.3469	11.5632	10.1056	9.0027	56.1686	38.2059	29.4572	24.0799	20.6429	17.9095	16.46	14.8388	13.5665
Q 6	51.7385	33.2255	24.191	18.9805	15.5906	13.1202	11.2155	9.83214	8.7154	55.3077	37.8424	29.2429	23.7613	20.482	18.1663	16.1745	14.6446	13.5171
Q 5	50.6151	32.1263	23.4726	18.2512	15.018	12.7145	10.9206	9.58329	8.49768	54.8154	37.0896	28.3637	23.1416	20.2428	17.6286	15.8975	14.5196	13.2242
Q 4	49.9062	31.431	22.5788	17.7344	14.3767	12.3257	10.4514	9.25011	8.3716	54.3169	36.3099	27.3704	22.519	19.4838	17.0798	15.5262	14.0755	13.1916
Q 3	49.0216	30.4126	21.8039	17.1803	13.9672	11.9082	10.2493	9.03697	8.10078	53.5412	35.1918	26.5503	22.1734	18.7404	16.7128	15.1801	13.7564	12.8983
Q 2	47.9416	29.5713	21.234	16.5264	13.5048	11.5121	10.075	8.84354	7.93287	52.2024	34.5822	26.1953	21.3775	18.2839	16.3588	14.8413	13.5026	12.5637
J J	77.3637	61.0295	48.9684	40.2501	33.66	28.471	24.7617	21.7601	19.311	-1.#IND	-1.#IND	-1.#IND	-1.#IND	-1.#IND	-1.#IND	-1.#IND	-1.#IND	-1.#IND
J 10	55.5746	39.6389	31.5561	26.2129	22.3337	19.4252	17.1348	15.3523	14.043	58.4909	43.2491	35.2364	30.5931	26.6014	23.6509	21.4316	19.8905	18.4745
J 9	54.0297	37.0308	28.6164	23.2853	19.5626	16.7183	14.707	12.9534	11.6912	57.5159	40.8134	32.914	27.5087	23.9789	21.1827	19.1332	17.6039	16.1935
J 8	52.1179	34.8121	26.4382	21.072	17.5765	14.9544	12.9949	11.5764	10.2622	56.1643	38.5599	30.6702	25.6171	22.0627	19.4939	17.6664	16.1984	14.9472
J 7	50.1648	32.9233	24.3802	19.291	15.7733	13.4356	11.5625	10.1918	9.04202	53.9882	37.2823	29.0783	23.9551	20.3996	18.1378	16.2834	14.9214	13.8638
J 6	48.4177	30.8113	22.3405	17.3894	14.205	11.9139	10.2107	9.01466	7.98945	52.6968	35.681	27.0444	22.1067	19.1264	16.5632	15.0973	13.5665	12.7031
J 5	47.8326	30.0797	21.8074	16.9289	13.9359	11.6355	10.0931	8.80102	7.89676	52.7737	34.9067	26.7548	21.694	18.8792	16.4478	15.0097	13.6395	12.6943
J 4	47.0512	29.4106	20.9756	16.3524	13.3946	11.3609	9.72734	8.55407	7.62185	51.0857	34.3806	25.8842	21.0943	18.4281	16.2647	14.4718	13.4877	12.3163
J 3	46.1405	28.272	20.2486	15.8343	13.0348	10.993	9.56749	8.37805	7.49095	50.1661	33.0272	25.1201	20.7878	18.0721	15.8279	14.4042	12.9899	12.0124
J 2	45.1154	27.6779	19.578	15.4751	12.662	10.6147	9.25958	8.1786	7.24708	49.393	32.5928	24.5651	20.1558	17.6053	15.3266	13.9346	12.6235	11.776
10 10	74.8105	57.3542	45.1362	36.2824	29.9102	25.258	21.7526	19.1665	17.2546	-1.#IND	-1.#IND	-1.#IND	-1.#IND	-1.#IND	-1.#IND	-1.#IND	-1.#IND	-1.#IND
10 9	52.1798	36.1267	28.3054	23.2119	19.758	17.0941	15.0528	13.4348	12.1765	55.3146	40.1764	32.2914	27.3377	23.8123	21.5349	19.2323	17.6957	16.4638
10 8	50.3644	34.0578	26.2018	21.3	17.7309	15.1569	13.3739	11.8528	10.6713	54.1255	38.4324	30.8976	25.7337	22.203	19.7025	18.0215	16.4068	15.0884
10 7	48.4763	32.1654	23.9458	19.1649	15.92	13.5936	11.7891	10.4556	9.3925	52.849	36.642	28.4334	24.0481	20.5832	18.1625	16.4594	14.9409	13.9525
10 6	46.3887	30.018	21.9572	17.4528	14.3491	12.112	10.5168	9.31241	8.3023	50.3872	34.4847	26.8528	22.2947	19.0387	17.0196	15.2751	14.1477	13.0426
10 5	45.3092	27.8758	20.2506	15.8407	12.9627	10.776	9.34669	8.27065	7.31038	49.6408	32.5242	24.9579	20.52	17.7923	15.5185	14.1476	13.026	12.0519
10 4	44.5144	27.5842	19.8308	15.4193	12.6563	10.6499	9.21076	8.13047	7.2646	48.9723	32.6922	24.7036	20.3369	17.5581	15.4553	14.0768	12.9227	11.8571
10 3	43.5954	26.5238	19.1132	14.8273	12.0493	10.2699	8.98142	7.86706	7.02468	48.3209	31.3003	23.9773	19.8729	16.7878	14.9937	13.6853	12.4928	11.5642
10 2	42.4157	25.6309	18.4948	14.3817	11.6827	9.98096	8.66387	7.64023	6.83753	46.942	30.4811	23.4342	19.3772	16.4787	14.7516	13.2532	12.1592	11.3617
9 9	72.1483	53.5189	41.0427	32.5869	26.6821	22.4216	19.5668	17.1911	15.5862	-1.#IND	-1.#IND	-1.#IND	-1.#IND	-1.#IND	-1.#IND	-1.#IND	-1.#IND	-1.#IND
9 8	48.6097	33.3717	25.8338	20.8686	17.4316	15.1107	13.1739	11.8137	10.7417	52.7826	37.8576	30.2461	25.0747	21.6623	19.4695	17.5297	16.1521	14.9391
9 7	46.8669	31.4837	23.7365	19.2183	15.8919	13.6258	11.9191	10.5841	9.61102	50.8111	35.772	28.2384	23.681	20.2777	18.015	16.1869	14.9739	13.9095
9 6	45.379	29.4138	21.9047	17.4195	14.3633	12.2078	10.6388	9.4396	8.56159	49.9218	34.0012	26.4802	21.9186	18.856	16.8007	15.121	13.8334	12.9369
9 5	43.5412	27.5071	20.1133	15.7502	12.9089	10.9361	9.49341	8.41171	7.49002	48.3469	32.3857	24.8408	20.4724	17.693	15.6986	14.1696	13.0493	12.0648
9 4	41.5398	25.4125	18.2861	14.146	11.4706	9.72218	8.29296	7.32964	6.50666	46.4806	29.8257	23.0276	18.9176	15.9991	14.3837	12.6422	11.8064	10.8501
9 3	41.115	24.7861	18.0046	13.9257	11.0906	9.40335	8.18032	7.24708	6.43969	46.1526	29.874	22.9827	18.4579	15.7128	14.0515	12.7075	11.6823	10.7749
9 2	39.7603	24.057	17.2669	13.4199	10.9079	9.18977	7.87383	7.00738	6.32575	44.7267	28.6238	22.0088	18.291	15.6047	13.6502	12.2876	11.2905	10.5787
8 8	68.8191	49.618	37.7868	29.4409	24.0551	20.2016	17.7241	15.8229	14.5297	-1.#IND	-1.#IND	-1.#IND	-1.#IND	-1.#IND	-1.#IND	-1.#IND	-1.#IND	-1.#IND
8 7	45.9738	30.8834	23.9363	19.1716	16.0786	13.913	12.2718	11.0585	10.1061	50.4255	35.1535	28.2453	23.4136	20.5819	18.1963	16.6372	15.25	14.195
8 6	43.9234	29.3207	22.0563	17.6301	14.8818	12.6921	11.0843	10.0716	9.07523	48.4448	34.0641	26.6086	22.2714	19.4626	17.0364	15.3706	14.3928	13.3432
8 5	42.2179	27.4574	20.3075	16.0562	13.2689	11.4299	9.94132	8.8636	8.07346	46.9037	32.3679	25.2176	20.4942	17.7332	16.0032	14.3256	13.2611	12.4609
8 4	40.2476	25.315	18.4868	14.3438	11.8339	10.0297	8.74811	7.72582	6.98869	45.65	30.4182	23.3709	19.1272	16.6356	14.4583	13.2498	11.9474	11.2248
8 3	38.2253	23.4703	16.601	12.9726	10.4948	8.89677	7.59701	6.70958	6.03527	43.2369	28.5689	21.0675	17.6714	15.1499	13.4059	11.8117	10.9216	10.0958
8 2	37.7336	22.7637	16.3547	12.5642	10.2191	8.59253	7.56827	6.68618	5.95963	42.9193	27.7783	21.2432	17.0945	14.8104	13.0048	11.9365	10.9401	10.0614
7 7	66.2217	46.5547	34.2897	26.7991	21.5735	18.6551	16.2892	14.8626	13.8307	-1.#IND	-1.#IND	-1.#IND	-1.#IND	-1.#IND	-1.#IND	-1.#IND	-1.#IND	-1.#IND
7 6	43.089	29.2232	22.2169	17.9726	14.9443	13.079	11.6215	10.526	9.60089	47.9441	33.977	26.8448	22.4525	19.2626	17.4659	15.9764	14.7082	13.715
7 5	41.1239	27.204	20.5324	16.361	13.7703	11.9223	10.5749	9.50356	8.67188	46.2427	31.8968	25.0332	20.8709	18.2312	16.2519	14.927	13.7938	12.8413
7 4	39.4514	25.4257	18.7614	14.8225	12.3473	10.5714	9.27162	8.30052	7.6562	44.4049	30.1748	23.8076	19.4126	16.7707	14.9939	13.6964	12.4868	11.7882
7 3	37.5901	23.5712	17.0691	13.346	11.0862	9.35708	8.21524	7.31955	6.57156	42.8633	28.5594	22.0168	18.1167	15.642	13.7432	12.6642	11.4067	10.6125
7 2	35.5562	21.4248	15.1632	11.7031	9.57628	8.14292	7.06305	6.34408	5.65842	40.7411	26.673	20.0701	16.3638	13.7758	12.5475	11.305	10.4621	9.62057
6 6	63.3209	43.1683	31.5001	24.4124	20.1023	17.1353	15.337	14.0315	13.0609	-1.#IND	-1.#IND	-1.#IND	-1.#IND	-1.#IND	-1.#IND	-1.#IND	-1.#IND	-1.#IND
6 5	40.7597	27.51	20.8	16.8054	14.1638	12.5289	11.0847	10.1144	9.32486	46.348	32.2087	25.1722	21.2415	18.4685	16.9297	15.3229	14.3871	13.4536
6 4	38.5937	25.8251	19.1883	15.2258	13.0445	11.2569	10.0812	9.05339	8.32518	43.8117	30.5815	23.7421	19.8259	17.5893	15.627	14.4505	13.1881	12.4236
6 3	37.0403	23.8464	17.5207	13.7899	11.4154	9.90345	8.80827	7.943	7.25789	43.1398	28.3336	22.5259	18.4262	15.959	14.2358	12.9912	12.0459	11.149
6 2	35.1606	21.8429	15.6711	12.3647	10.17	8.67434	7.70503	6.92765	6.24515	40.5605	26.9227	20.4108	16.9653	14.5654	12.902	11.8669	11.1702	10.0675
5 5	60.5358	39.6886	28.6679	22.4181	18.5625	16.1188	14.4339	13.3453	12.4458	-1.#IND	-1.#IND	-1.#IND	-1.#IND	-1.#IND	-1.#IND	-1.#IND	-1.#IND	-1.#IND
5 4	38.887	26.1358	19.7828	16.1059	13.66	11.9609	10.7352	9.7752	9.04372	44.7218	30.7618	24.0508	20.7302	18.0481	16.3937	14.863	13.8243	13.1309
5 3	37.3265	24.4912	18.3297	14.6512	12.4372	10.8747	9.80322	8.98692	8.28137	42.7994	29.3103	23.0842	18.9909	16.9311	15.2235	13.879	13.041	12.1299
5 2	35.1289	22.6515	16.5291	13.1699	10.9593	9.65352	8.56626	7.83396	7.22472	41.0966	27.6358	21.2032	17.8171	15.2661	13.6972	12.5087	11.8982	11.1938
4 4	57.0818	36.9683	26.3203	20.6255	17.1992	15.2877	14.1085	12.9893	12.1207	-1.#IND	-1.#IND	-1.#IND	-1.#IND	-1.#IND	-1.#IND	-1.#IND	-1.#IND	-1.#IND
4 3	36.3039	23.4773	17.4511	14.0067	11.8743	10.2689	9.26087	8.48095	7.83707	41.7726	28.0581	22.0413	18.2907	16.3006	14.5055	13.2669	12.5237	11.749
4 2	34.2994	21.7271	15.8525	12.508	10.5341	9.33902	8.29619	7.58053	6.98809	40.0539	26.6379	20.3245	16.8791	14.7017	13.5756	12.1645	11.4538	10.8126
3 3	53.8555	33.5918	24.2229	19.2762	16.2721	14.6398	13.5707	12.7875	12.0972	-1.#IND	-1.#IND	-1.#IND	-1.#IND	-1.#IND	-1.#IND	-1.#IND	-1.#IND	-1.#IND
3 2	33.1933	20.747	15.0398	11.9124	10.0201	8.7304	7.83369	7.10626	6.45116	38.4366	25.6073	19.709	16.2857	14.0474	12.7168	11.6618	10.9239	10.0731
2 2	50.2703	30.6129	21.9199	17.6652	15.5326	14.0558	13.3906	12.6023	11.9939	-1.#IND	-1.#IND	-1.#IND	-1.#IND	-1.#IND	-1.#IND	-1.#IND	-1.#IND	-1.#IND
