Num Players: 9
Num Rounds: 5000000
Num Hands: 45000000

Hand type	# Hands	% of hands	# rounds won	% of rounds won
High	7829313	17.3985	34	0.00068
Pair	19712407	43.8053	469895	9.3979
TwoPair	10584188	23.5204	1228226	24.5645
Set	2175977	4.8355	835551	16.711
Straight	2079463	4.62103	1002857	20.0571
Flush	1361331	3.02518	673040	13.4608
FullHouse	1170642	2.60143	714163	14.2833
Quads	76077	0.16906	66191	1.32382
StraighFlush	9501	0.0211133	8955	0.1791
RoyalFlush	1101	0.00244667	1088	0.02176

Straight when connector	7.5126
Flush when Suited 	6.49793

Set when pair up	58.5993
Straight when three up	43.2499
Straight when four up	51.7196
Flush when three up	73.4044
Flush when four up	337.452
Full House when pair up	25.2614
Full House when set up	300.364
Full House when two pair up	149.284
Quad when pair up	0.960027
Quad when set up	38.4517

Starting Hand	# Hands	% hands	# rounds won	% rounds won	% all rounds won	# Hands Suited	% hands Suited	# rounds won Suited	% rounds won Suited	% all rounds won
9 7	542928	1.20651	57472.3	10.5856	1.14945	135883	0.301962	20369	14.9901	0.40738
9 6	542965	1.20659	51265.5	9.44177	1.02531	135592	0.301316	18788	13.8563	0.37576
9 5	543564	1.20792	45732.9	8.41352	0.914657	136161	0.30258	17791	13.0661	0.35582
9 4	543114	1.20692	39820.3	7.33184	0.796405	135554	0.301231	16025	11.8219	0.3205
9 3	543755	1.20834	39417.5	7.24914	0.788351	135992	0.302204	15916	11.7036	0.31832
9 2	543138	1.20697	38068.4	7.00898	0.761368	135681	0.301513	15340	11.3059	0.3068
8 8	203503	0.452229	32220.2	15.8328	0.644405	0	0	0	-1.#IND	0
8 7	544152	1.20923	60185.4	11.0604	1.20371	135836	0.301858	20747	15.2736	0.41494
8 6	544919	1.21093	54892.1	10.0734	1.09784	136263	0.302807	19623	14.4008	0.39246
8 5	542465	1.20548	48092.9	8.86563	0.961858	135253	0.300562	17958	13.2773	0.35916
8 4	542185	1.20486	41899.4	7.72787	0.837987	136398	0.303107	16315	11.9613	0.3263
8 3	543152	1.207	36453.7	6.7115	0.729073	136491	0.303313	14925	10.9348	0.2985
8 2	541919	1.20426	36244.2	6.68812	0.724884	135200	0.300444	14815	10.9578	0.2963
7 7	203791	0.452869	30301.3	14.8688	0.606027	0	0	0	-1.#IND	0
7 6	542867	1.20637	57152.1	10.5278	1.14304	135598	0.301329	19973	14.7296	0.39946
7 5	542053	1.20456	51523.4	9.50522	1.03047	135532	0.301182	18722	13.8137	0.37444
7 4	543530	1.20784	45124.6	8.30214	0.902492	135896	0.301991	16996	12.5066	0.33992
7 3	543969	1.20882	39825.8	7.32134	0.796517	136148	0.302551	15549	11.4207	0.31098
7 2	542741	1.20609	34442.3	6.34599	0.688846	135872	0.301938	14241	10.4812	0.28482
6 6	203829	0.452953	28608.1	14.0353	0.572161	0	0	0	-1.#IND	0
6 5	542854	1.20634	54918.8	10.1167	1.09838	135288	0.30064	19496	14.4107	0.38992
