Q 8	54.2545	36.1128	26.7785	21.5243	17.8391	15.0105	12.9937	11.4863	10.1433	57.2221	40.0852	30.9055	26.3651	22.6497	19.7951	17.6506	16.1103	14.9235
Q 7	52.4581	33.9717	24.817	19.4646	16.0284	13.3494	11.565	10.108	9.00429	56.172	38.217	29.4704	24.0878	20.6595	17.9294	16.4798	14.8528	13.5836
Q 6	51.7336	33.2242	24.1908	18.9823	15.5905	13.1227	11.2178	9.83409	8.71727	55.3044	37.8578	29.2512	23.7799	20.4953	18.1815	16.1944	14.6579	13.535
Q 5	50.6143	32.1246	23.4739	18.2539	15.019	12.7162	10.9219	9.58474	8.49971	54.8187	37.0919	28.367	23.1641	20.2649	17.64	15.9133	14.5299	13.2415
Q 4	49.9045	31.4311	22.5809	17.735	14.3783	12.3273	10.4525	9.25251	8.37352	54.3236	36.3121	27.3787	22.5388	19.4993	17.0941	15.5437	14.0948	13.2102
Q 3	49.0179	30.4125	21.8016	17.1802	13.9681	11.9099	10.2513	9.03877	8.1026	53.5445	35.2006	26.552	22.1813	18.7504	16.725	15.1999	13.7748	12.9128
Q 2	47.9383	29.5717	21.2347	16.5275	13.5055	11.514	10.0768	8.84538	7.93432	52.2287	34.5932	26.1986	21.3867	18.2949	16.3719	14.8555	13.521	12.5816
J J	77.3703	61.0436	48.9828	40.2713	33.6772	28.4867	24.7731	21.7753	19.3245	-1.#IND	-1.#IND	-1.#IND	-1.#IND	-1.#IND	-1.#IND	-1.#IND	-1.#IND	-1.#IND
J 10	55.577	39.6409	31.5605	26.2147	22.3376	19.4277	17.1368	15.3541	14.045	58.4943	43.2601	35.2545	30.6037	26.6213	23.6689	21.4523	19.9081	18.4938
J 9	54.0281	37.0336	28.6198	23.2871	19.565	16.7206	14.7097	12.9551	11.6933	57.5159	40.8223	32.924	27.5206	23.9954	21.1969	19.1572	17.6172	16.2199
J 8	52.1183	34.8134	26.441	21.0744	17.5788	14.9567	12.9966	11.5786	10.2637	56.1709	38.571	30.6918	25.6343	22.0693	19.5071	17.6754	16.2176	14.9624
J 7	50.1648	32.926	24.3844	19.2935	15.7757	13.4377	11.5649	10.1938	9.04386	53.9981	37.2933	29.0949	23.9697	20.4128	18.1511	16.3017	14.9317	13.8817
J 6	48.4177	30.8139	22.3452	17.3924	14.2069	11.9167	10.2131	9.01653	7.99133	52.7068	35.6964	27.0643	22.1227	19.1374	16.5831	15.1123	13.5864	12.7204
J 5	47.836	30.0813	21.8098	16.9319	13.9377	11.6377	10.0948	8.80297	7.89841	52.7803	34.9178	26.773	21.7085	18.8847	16.4582	15.0229	13.6542	12.7089
J 4	47.0541	29.4125	20.9769	16.3548	13.397	11.3629	9.7294	8.55679	7.6235	51.1022	34.3961	25.8925	21.1075	18.4347	16.2835	14.4835	13.506	12.3263
J 3	46.1409	28.2752	20.2523	15.836	13.0367	10.9958	9.57025	8.38028	7.49242	50.1761	33.0361	25.1333	20.8024	18.0875	15.8497	14.4225	13.0075	12.0224
J 2	45.1191	27.6788	19.5816	15.4775	12.6642	10.6174	9.26175	8.18056	7.24899	49.416	32.6039	24.58	20.1677	17.6164	15.3398	13.9487	12.6413	11.7952
10 10	74.8138	57.3728	45.15	36.2949	29.922	25.2709	21.7643	19.1769	17.2649	-1.#IND	-1.#IND	-1.#IND	-1.#IND	-1.#IND	-1.#IND	-1.#IND	-1.#IND	-1.#IND
10 9	52.1823	36.1293	28.3089	23.2155	19.7609	17.0966	15.0553	13.4367	12.1781	55.3313	40.1874	32.2981	27.3483	23.8277	21.5501	19.2464	17.7105	16.475
10 8	50.3661	34.0602	26.2055	21.3034	17.7341	15.1599	13.376	11.8546	10.6734	54.1388	38.4479	30.9174	25.751	22.2184	19.7204	18.0422	16.423	15.1123
10 7	48.48	32.1695	23.9506	19.1685	15.922	13.596	11.7916	10.4575	9.39446	52.8555	36.6597	28.4534	24.0679	20.5931	18.1872	16.476	14.9542	13.9678
10 6	46.3924	30.0205	21.9609	17.4557	14.3523	12.1146	10.5192	9.31436	8.3042	50.3939	34.4935	26.871	22.308	19.0564	17.0425	15.2885	14.1632	13.0619
10 5	45.3096	27.8796	20.2544	15.8438	12.9651	10.7784	9.34888	8.27304	7.31214	49.6474	32.5396	24.9712	20.5279	17.8001	15.5346	14.1684	13.0415	12.0698
10 4	44.519	27.5882	19.8342	15.4226	12.6596	10.6523	9.21326	8.1326	7.26652	48.9857	32.7077	24.7235	20.3554	17.5792	15.4676	14.0967	12.9432	11.873
10 3	43.5979	26.5274	19.1167	14.8306	12.0517	10.2728	8.98418	7.86893	7.02677	48.3242	31.3136	23.999	19.8862	16.801	15.0107	13.7026	12.5105	11.5848
10 2	42.4165	25.634	18.4988	14.3856	11.6855	9.98393	8.66584	7.64221	6.83908	46.9588	30.4899	23.4507	19.3958	16.4953	14.7677	13.264	12.1747	11.3722
9 9	72.155	53.5368	41.0621	32.5987	26.6967	22.4392	19.5754	17.2017	15.5986	-1.#IND	-1.#IND	-1.#IND	-1.#IND	-1.#IND	-1.#IND	-1.#IND	-1.#IND	-1.#IND
9 8	48.6135	33.3753	25.8363	20.8716	17.4338	15.1132	13.1762	11.8151	10.744	52.7859	37.862	30.2626	25.0893	21.6789	19.4875	17.5388	16.1639	14.961
9 7	46.8718	31.4883	23.742	19.2219	15.8939	13.6282	11.9212	10.5856	9.61309	50.8277	35.7832	28.2551	23.6942	20.2888	18.0282	16.2026	14.9901	13.9293
9 6	45.3861	29.4174	21.9094	17.4239	14.3661	12.2104	10.641	9.44177	8.56392	49.9484	34.0167	26.4868	21.9384	18.8703	16.8139	15.1442	13.8563	12.9601
9 5	43.5457	27.5112	20.1183	15.7538	12.9112	10.9386	9.49566	8.41352	7.49189	48.3567	32.4011	24.854	20.4857	17.7075	15.7109	14.1845	13.0661	12.0841
9 4	41.5448	25.4174	18.2904	14.1494	11.473	9.72442	8.29498	7.33184	6.50845	46.4939	29.8412	23.0558	18.9309	16.0069	14.3979	12.6547	11.8219	10.8654
9 3	41.1171	24.7907	18.0095	13.9286	11.0934	9.40566	8.18271	7.24914	6.44145	46.1592	29.8873	22.9943	18.4698	15.7316	14.0695	12.7266	11.7036	10.7915
9 2	39.7641	24.0618	17.2712	13.4227	10.9104	9.19262	7.8755	7.00898	6.32757	44.7366	28.6437	22.0204	18.3056	15.6125	13.6654	12.2975	11.3059	10.5886
8 8	68.8224	49.6219	37.7993	29.4569	24.0621	20.2116	17.7327	15.8328	14.5379	-1.#IND	-1.#IND	-1.#IND	-1.#IND	-1.#IND	-1.#IND	-1.#IND	-1.#IND	-1.#IND
8 7	45.9771	30.8886	23.9408	19.1745	16.0815	13.9151	12.2738	11.0604	10.108	50.4288	35.1624	28.2602	23.4347	20.6039	18.2058	16.6545	15.2736	14.2141
8 6	43.9296	29.324	22.0617	17.6346	14.8842	12.6949	11.0866	10.0734	9.0769	48.4648	34.0752	26.6333	22.2886	19.4825	17.0544	15.3847	14.4008	13.3578
8 5	42.225	27.462	20.3112	16.0604	13.2715	11.4323	9.94316	8.86563	8.07516	46.9103	32.379	25.2276	20.5246	17.7509	16.0183	14.3429	13.2773	12.4741
8 4	40.2526	25.3226	18.4913	14.3466	11.8367	10.032	8.7505	7.72787	6.99056	45.6566	30.438	23.3842	19.147	16.6467	14.4688	13.2698	11.9613	11.2441
8 3	38.2295	23.4753	16.6054	12.9762	10.4984	8.9	7.59954	6.7115	6.03698	43.2467	28.5888	21.084	17.6846	15.171	13.4211	11.8267	10.9348	10.1057
8 2	37.7402	22.7693	16.3601	12.5669	10.222	8.59433	7.57083	6.68812	5.96131	42.9359	27.7938	21.2614	17.1078	14.8303	13.0162	11.9523	10.9578	10.0774
7 7	66.2283	46.5665	34.3004	26.8051	21.5865	18.6621	16.2979	14.8688	13.8373	-1.#IND	-1.#IND	-1.#IND	-1.#IND	-1.#IND	-1.#IND	-1.#IND	-1.#IND	-1.#IND
7 6	43.0932	29.2293	22.2204	17.9769	14.9471	13.0815	11.6237	10.5278	9.60268	47.9507	33.9836	26.8564	22.4684	19.2781	17.4781	15.993	14.7296	13.7295
7 5	41.1289	27.2094	20.5365	16.3644	13.7729	11.9248	10.5768	9.50522	8.67343	46.2625	31.9167	25.0465	20.8842	18.2511	16.2728	14.9403	13.8137	12.8585
7 4	39.458	25.4334	18.7638	14.8255	12.35	10.5738	9.27383	8.30214	7.65781	44.4346	30.2037	23.8243	19.4218	16.794	15.01	13.7154	12.5066	11.8049
7 3	37.5963	23.5758	17.0733	13.3487	11.0896	9.35994	8.21768	7.32134	6.57342	42.8731	28.5749	22.035	18.1351	15.6542	13.7593	12.6791	11.4207	10.6352
