Num Players: 6
Num Rounds: 5000000
Num Hands: 30000000

Hand type	# Hands		% of hands	# rounds won	% of rounds won
High		5225039		17.4168		2617		0.05234
Pair		13145585	43.8186		807221		16.1444
TwoPair		7044991		23.4833		1524446		30.4889
Set		1449650		4.83217		694968		13.8994
Straight	1387296		4.62432		829775		16.5955
Flush		910549		3.03516		542743		10.8549
FullHouse	779571		2.59857		546961		10.9392
Quads		50299		0.167663	44504		0.89008
StraighFlush	6290		0.0209667	6047		0.12094
RoyalFlush	730		0.00243333	718		0.01436

Straight when connector		7.49269
Flush when Suited 		6.51098
Set when pair up		39.0846
Straight when three up		28.8715
Straight when four up		34.5207
Flush when three up		49.0884
Flush when four up		225.451
Full House when pair up		16.9289
Full House when set up		200.045
Full House when two pair up	99.4457
Quad when pair up		0.650879
Quad when set up		25.612

Starting Hand	# Hands	% hands	# rounds won	% rounds won	% all rounds won	# Hands Suited	% hands Suited	# rounds won Suited	% rounds won Suited	% all rounds won
10 3	361285	1.20428	43541	12.0517	0.870821	90292	0.300973	15170	16.801	0.3034
10 2	361216	1.20405	42210.1	11.6855	0.844201	90171	0.30057	14874	16.4953	0.29748
9 9	135566	0.451887	36191.6	26.6967	0.723833	0	0	0	-1.#IND	0
9 8	361604	1.20535	63041.2	17.4338	1.26082	90189	0.30063	19552	21.6789	0.39104
9 7	361878	1.20626	57516.6	15.8939	1.15033	90454	0.301513	18352	20.2888	0.36704
9 6	362055	1.20685	52013.1	14.3661	1.04026	90682	0.302273	17112	18.8703	0.34224
9 5	360985	1.20328	46607.5	12.9112	0.93215	89900	0.299667	15919	17.7075	0.31838
9 4	361797	1.20599	41508.9	11.473	0.830178	90505	0.301683	14487	16.0069	0.28974
9 3	361686	1.20562	40123.2	11.0934	0.802465	90493	0.301643	14236	15.7316	0.28472
9 2	362109	1.20703	39507.5	10.9104	0.79015	90197	0.300657	14082	15.6125	0.28164
8 8	136524	0.45508	32850.5	24.0621	0.657011	0	0	0	-1.#IND	0
8 7	362168	1.20723	58242	16.0815	1.16484	90847	0.302823	18718	20.6039	0.37436
8 6	361828	1.20609	53855.3	14.8842	1.07711	90589	0.301963	17649	19.4825	0.35298
8 5	361911	1.20637	48031.1	13.2715	0.960623	90260	0.300867	16022	17.7509	0.32044
8 4	362026	1.20675	42852	11.8367	0.857039	90246	0.30082	15023	16.6467	0.30046
8 3	361578	1.20526	37960.1	10.4984	0.759201	90271	0.300903	13695	15.171	0.2739
8 2	362150	1.20717	37019	10.222	0.74038	90686	0.302287	13449	14.8303	0.26898
7 7	135939	0.45313	29344.4	21.5865	0.586889	0	0	0	-1.#IND	0
7 6	361020	1.2034	53961.9	14.9471	1.07924	90424	0.301413	17432	19.2781	0.34864
7 5	361839	1.20613	49835.6	13.7729	0.996712	90433	0.301443	16505	18.2511	0.3301
7 4	361477	1.20492	44642.6	12.35	0.892851	90038	0.300127	15121	16.794	0.30242
7 3	362809	1.20936	40234.2	11.0896	0.804684	90193	0.300643	14119	15.6542	0.28238
7 2	361239	1.20413	34604.6	9.57942	0.692092	90158	0.300527	12439	13.7969	0.24878
6 6	136452	0.45484	27440.1	20.1097	0.548802	0	0	0	-1.#IND	0
6 5	362464	1.20821	51349.1	14.1667	1.02698	90576	0.30192	16743	18.485	0.33486
6 4	363171	1.21057	47383.2	13.0471	0.947663	90868	0.302893	15992	17.5992	0.31984
6 3	361732	1.20577	41302.8	11.4181	0.826056	90369	0.30123	14436	15.9745	0.28872
