Num Players: 2
Num Rounds: 5000000
Num Hands: 10000000

Hand type	# Hands	% of hands	# rounds won	% of rounds won
High		1740888	17.4089		296213		5.92426
Pair		4380100	43.801		1854416		37.0883
TwoPair		2352790	23.5279		1573816		31.4763
Set		482196	4.82196		358977		7.17954
Straight	461696	4.61696		400720		8.0144
Flush		303321	3.03321		262831		5.25662
FullHouse	259884	2.59884		235150		4.703
Quads		16801	0.16801		15588		0.31176
StraighFlush	2083	0.02083		2053		0.04106
RoyalFlush	241	0.00241		236		0.00472

Straight when connector	7.4982
Flush when Suited 	6.52988
Set when pair up	12.9798
Straight when three up	9.60703
Straight when four up	11.4906
Flush when three up	16.3323
Flush when four up	75.0733
Full House when pair up	5.62984
Full House when set up	66.8129
Full House when two pair up	33.1935
Quad when pair up	0.21424
Quad when set up	8.52103

Starting Hand	# Hands	% hands	# rounds won	% rounds won	% all rounds won	# Hands Suited	% hands Suited	# rounds won Suited	% rounds won Suited	% all rounds won
9 2	120287	1.20287	47831	39.7641	0.95662	30275	0.30275	13544	44.7366	0.27088
8 8	45560	0.4556	31355.5	68.8224	0.62711	0	0	0	-1.#IND	0
8 7	120435	1.20435	55372.5	45.9771	1.10745	30201	0.30201	15230	50.4288	0.3046
8 6	120149	1.20149	52781	43.9296	1.05562	29964	0.29964	14522	48.4648	0.29044
8 5	121234	1.21234	51191	42.225	1.02382	30488	0.30488	14302	46.9103	0.28604
8 4	121463	1.21463	48892	40.2526	0.97784	30552	0.30552	13949	45.6566	0.27898
8 3	120564	1.20564	46091	38.2295	0.92182	30437	0.30437	13163	43.2467	0.26326
8 2	121193	1.21193	45738.5	37.7402	0.91477	30103	0.30103	12925	42.9359	0.2585
7 7	45282	0.45282	29989.5	66.2283	0.59979	0	0	0	-1.#IND	0
7 6	120967	1.20967	52128.5	43.0932	1.04257	30279	0.30279	14519	47.9507	0.29038
7 5	120994	1.20994	49763.5	41.1289	0.99527	30314	0.30314	14024	46.2625	0.28048
7 4	121196	1.21196	47821.5	39.458	0.95643	30384	0.30384	13501	44.4346	0.27002
7 3	121379	1.21379	45634	37.5963	0.91268	30371	0.30371	13021	42.8731	0.26042
7 2	120425	1.20425	42829	35.5649	0.85658	30117	0.30117	12275	40.7577	0.2455
6 6	45087	0.45087	28552	63.3265	0.57104	0	0	0	-1.#IND	0
6 5	120543	1.20543	49139	40.7647	0.98278	30025	0.30025	13918	46.3547	0.27836
