Num Players: 9
Num Rounds: 5000000
Num Hands: 45000000

Hand type	# Hands		% of hands	# rounds won	% of rounds won
High		7829313		17.3985		34		0.00068
Pair		19712407	43.8053		469895		9.3979
TwoPair		10584188	23.5204		1228226		24.5645
Set		2175977		4.8355		835551		16.711
Straight	2079463		4.62103		1002857		20.0571
Flush		1361331		3.02518		673040		13.4608
FullHouse	1170642		2.60143		714163		14.2833
Quads		76077		0.16906		66191		1.32382
StraighFlush	9501		0.0211133	8955		0.1791
RoyalFlush	1101		0.00244667	1088		0.02176

Straight when connector	7.5126
Flush when Suited 	6.49793
Set when pair up	58.5993
Straight when three up	43.2499
Straight when four up	51.7196
Flush when three up	73.4044
Flush when four up	337.452
Full House when pair up	25.2614
Full House when set up	300.364
Full House when two pair up	149.284
Quad when pair up	0.960027
Quad when set up	38.4517

Starting Hand	# Hands	% hands	# rounds won	% rounds won	% all rounds won	# Hands Suited	% hands Suited	# rounds won Suited	% rounds won Suited	% all rounds won
7 7	203791	0.452869	30288.6	14.8626	0.605773	0	0	0	-1.#IND	0
7 6	542867	1.20637	57142	10.526	1.14284	135598	0.301329	19944	14.7082	0.39888
7 5	542053	1.20456	51514.4	9.50356	1.03029	135532	0.301182	18695	13.7938	0.3739
7 4	543530	1.20784	45115.8	8.30052	0.902316	135896	0.301991	16969	12.4868	0.33938
7 3	543969	1.20882	39816.1	7.31955	0.796322	136148	0.302551	15530	11.4067	0.3106
7 2	542741	1.20609	34431.9	6.34408	0.688638	135872	0.301938	14215	10.4621	0.2843
6 6	203829	0.452953	28600.4	14.0315	0.572007	0	0	0	-1.#IND	0
6 5	542854	1.20634	54906.4	10.1144	1.09813	135288	0.30064	19464	14.3871	0.38928
6 4	543080	1.20684	49167.1	9.05339	0.983343	135948	0.302107	17929	13.1881	0.35858
6 3	542715	1.20603	43107.9	7.943	0.862157	135914	0.302031	16372	12.0459	0.32744
6 2	542540	1.20564	37585.3	6.92765	0.751705	135432	0.30096	15128	11.1702	0.30256
5 5	204251	0.453891	27257.9	13.3453	0.545157	0	0	0	-1.#IND	0
5 4	542869	1.20638	53066.6	9.7752	1.06133	135746	0.301658	18766	13.8243	0.37532
5 3	542585	1.20574	48761.7	8.98692	0.975233	135733	0.301629	17701	13.041	0.35402
5 2	542534	1.20563	42501.9	7.83396	0.850038	135508	0.301129	16123	11.8982	0.32246
4 4	203309	0.451798	26408.5	12.9893	0.52817	0	0	0	-1.#IND	0
4 3	543888	1.20864	46126.9	8.48095	0.922538	135830	0.301844	17011	12.5237	0.34022
4 2	543062	1.2068	41167	7.58053	0.82334	135571	0.301269	15528	11.4538	0.31056
3 3	203986	0.453302	26084.8	12.7875	0.521696	0	0	0	-1.#IND	0
3 2	542766	1.20615	38570.4	7.10626	0.771408	135711	0.30158	14825	10.9239	0.2965
2 2	203706	0.45268	25671.7	12.6023	0.513434	0	0	0	-1.#IND	0
