Num Players: 5
Num Rounds: 5000000
Num Hands: 25000000

Hand type	# Hands	% of hands	# rounds won	% of rounds won
High	4353548	17.4142	9570	0.1914
Pair	10960855	43.8434	980901	19.618
TwoPair	5870074	23.4803	1618654	32.3731
Set	1205538	4.82215	628497	12.5699
Straight	1154980	4.61992	749773	14.9955
Flush	760294	3.04118	490298	9.80596
FullHouse	647337	2.58935	479847	9.59694
Quads	41549	0.166196	36847	0.73694
StraighFlush	5233	0.020932	5035	0.1007
RoyalFlush	592	0.002368	578	0.01156

Straight when connector	7.49105
Flush when Suited 	6.54306

Set when pair up	32.527
Straight when three up	24.0091
Straight when four up	28.6773
Flush when three up	40.9667
Flush when four up	187.643
Full House when pair up	14.0433
Full House when set up	166.63
Full House when two pair up	82.8249
Quad when pair up	0.530079
Quad when set up	21.2017

Starting Hand	# Hands	% hands	# rounds won	% rounds won	% all rounds won	# Hands Suited	% hands Suited	# rounds won Suited	% rounds won Suited	% all rounds won
7 5	301647	1.20659	49362.8	16.3644	0.987257	75095	0.30038	15683	20.8842	0.31366
7 4	301765	1.20706	44738.3	14.8255	0.894766	75822	0.303288	14726	19.4218	0.29452
7 3	301859	1.20744	40294.4	13.3487	0.805888	75963	0.303852	13776	18.1351	0.27552
7 2	302011	1.20804	35353.9	11.7062	0.707078	75838	0.303352	12421	16.3783	0.24842
6 6	112709	0.450836	27520.7	24.4175	0.550414	0	0	0	-1.#IND	0
6 5	301511	1.20604	50682.3	16.8095	1.01365	75701	0.302804	16105	21.2745	0.3221
6 4	301930	1.20772	45982.1	15.2294	0.919642	75477	0.301908	14974	19.8392	0.29948
6 3	301761	1.20704	41620	13.7924	0.8324	75447	0.301788	13908	18.4341	0.27816
6 2	300990	1.20396	37225.9	12.3678	0.744518	74941	0.299764	12725	16.98	0.2545
5 5	112762	0.451048	25283.7	22.4222	0.505674	0	0	0	-1.#IND	0
5 4	301963	1.20785	48642	16.1086	0.97284	75349	0.301396	15630	20.7435	0.3126
5 3	301042	1.20417	44117.3	14.6549	0.882345	75457	0.301828	14342	19.0069	0.28684
5 2	301252	1.20501	39682.1	13.1724	0.793642	75119	0.300476	13399	17.837	0.26798
4 4	112997	0.451988	23308.6	20.6276	0.466172	0	0	0	-1.#IND	0
4 3	301728	1.20691	42268.2	14.0087	0.845363	75421	0.301684	13806	18.3052	0.27612
4 2	302187	1.20875	37807.3	12.5112	0.756146	75561	0.302244	12766	16.895	0.25532
3 3	112978	0.451912	21785.1	19.2826	0.435702	0	0	0	-1.#IND	0
3 2	301943	1.20777	35975.5	11.9147	0.71951	75195	0.30078	12257	16.3003	0.24514
2 2	113034	0.452136	19968.7	17.6661	0.399374	0	0	0	-1.#IND	0
