Num Players: 8
Num Rounds: 5000000
Num Hands: 40000000

Hand type	# Hands	% of hands	# rounds won	% of rounds won
High	6971433	17.4286	151	0.00302
Pair	17530114	43.8253	561141	11.2228
TwoPair	9393242	23.4831	1323007	26.4601
Set	1933684	4.83421	798864	15.9773
Straight	1845478	4.6137	953925	19.0785
Flush	1211454	3.02864	634061	12.6812
FullHouse	1037670	2.59418	660720	13.2144
Quads	67381	0.168453	59031	1.18062
StraighFlush	8542	0.021355	8129	0.16258
RoyalFlush	1002	0.002505	971	0.01942

Straight when connector	7.48384
Flush when Suited 	6.51908

Set when pair up	52.1043
Straight when three up	38.4105
Straight when four up	45.9339
Flush when three up	65.2954
Flush when four up	299.863
Full House when pair up	22.5021
Full House when set up	267.336
Full House when two pair up	132.555
Quad when pair up	0.86867
Quad when set up	34.0291

Starting Hand	# Hands	% hands	# rounds won	% rounds won	% all rounds won	# Hands Suited	% hands Suited	# rounds won Suited	% rounds won Suited	% all rounds won
7 6	483263	1.20816	56173.2	11.6237	1.12346	120215	0.300537	19226	15.993	0.38452
7 5	483012	1.20753	51087.1	10.5768	1.02174	120446	0.301115	17995	14.9403	0.3599
7 4	483325	1.20831	44822.7	9.27383	0.896455	120908	0.30227	16583	13.7154	0.33166
7 3	482225	1.20556	39627.7	8.21768	0.792554	120805	0.302013	15317	12.6791	0.30634
7 2	483038	1.20759	34128.1	7.06531	0.682563	120717	0.301793	13663	11.3182	0.27326
6 6	181451	0.453627	27833.7	15.3395	0.556673	0	0	0	-1.#IND	0
6 5	482968	1.20742	53544.3	11.0865	1.07089	120382	0.300955	18460	15.3345	0.3692
6 4	482679	1.2067	48669	10.0831	0.973381	120868	0.30217	17486	14.467	0.34972
6 3	482860	1.20715	42540.5	8.81012	0.850811	121105	0.302763	15759	13.0127	0.31518
6 2	483044	1.20761	37230.2	7.70742	0.744605	120908	0.30227	14366	11.8818	0.28732
5 5	180582	0.451455	26071.1	14.4373	0.521422	0	0	0	-1.#IND	0
5 4	482149	1.20537	51770.6	10.7375	1.03541	120783	0.301957	17977	14.8837	0.35954
5 3	481971	1.20493	47259.3	9.80543	0.945187	120967	0.302417	16815	13.9005	0.3363
5 2	483403	1.20851	41417.8	8.56797	0.828357	120652	0.30163	15109	12.5228	0.30218
4 4	180522	0.451305	25475.4	14.1121	0.509507	0	0	0	-1.#IND	0
4 3	483217	1.20804	44758	9.26251	0.895161	120654	0.301635	16031	13.2868	0.32062
4 2	483514	1.20879	40120.2	8.29762	0.802403	120909	0.302272	14728	12.1811	0.29456
3 3	180976	0.45244	24563.1	13.5725	0.491261	0	0	0	-1.#IND	0
3 2	483175	1.20794	37858.5	7.83535	0.757169	120599	0.301497	14080	11.6751	0.2816
2 2	181101	0.452753	24253.3	13.3921	0.485066	0	0	0	-1.#IND	0
