Num Players: 7
Num Rounds: 5000000
Num Hands: 35000000

Hand type	# Hands	% of hands	# rounds won	% of rounds won
High	6093390	17.4097	723	0.01446
Pair	15346066	43.8459	669982	13.3996
TwoPair	8217499	23.4786	1423654	28.4731
Set	1689096	4.82599	750659	15.0132
Straight	1617541	4.62155	897641	17.9528
Flush	1061390	3.03254	591686	11.8337
FullHouse	908291	2.59512	606484	12.1297
Quads	58503	0.167151	51325	1.0265
StraighFlush	7342	0.0209771	6992	0.13984
RoyalFlush	882	0.00252	854	0.01708

Straight when connector	7.50244
Flush when Suited 	6.52022

Set when pair up	45.559
Straight when three up	33.6358
Straight when four up	40.2298
Flush when three up	57.2209
Flush when four up	262.452
Full House when pair up	19.7023
Full House when set up	233.955
Full House when two pair up	115.903
Quad when pair up	0.744857
Quad when set up	29.8557

Starting Hand	# Hands	% hands	# rounds won	% rounds won	% all rounds won	# Hands Suited	% hands Suited	# rounds won Suited	% rounds won Suited	% all rounds won
9 7	422165	1.20619	57533.3	13.6282	1.15067	105662	0.301891	19049	18.0282	0.38098
9 6	422159	1.20617	51547.5	12.2104	1.03095	105960	0.302743	17816	16.8139	0.35632
9 5	422308	1.20659	46194.5	10.9386	0.92389	105672	0.30192	16602	15.7109	0.33204
9 4	422673	1.20764	41102.5	9.72442	0.82205	105592	0.301691	15203	14.3979	0.30406
9 3	422220	1.20634	39712.6	9.40566	0.794252	105469	0.30134	14839	14.0695	0.29678
9 2	422656	1.20759	38853.1	9.19262	0.777063	105354	0.301011	14397	13.6654	0.28794
8 8	159025	0.454357	32141.5	20.2116	0.642829	0	0	0	-1.#IND	0
8 7	422867	1.20819	58842.3	13.9151	1.17685	105873	0.302494	19275	18.2058	0.3855
8 6	422203	1.20629	53598.4	12.6949	1.07197	105439	0.301254	17982	17.0544	0.35964
8 5	422998	1.20857	48358.5	11.4323	0.96717	105323	0.300923	16871	16.0183	0.33742
8 4	421791	1.20512	42313.9	10.032	0.846277	105268	0.300766	15231	14.4688	0.30462
8 3	422979	1.20851	37645.1	8.9	0.752902	105640	0.301829	14178	13.4211	0.28356
8 2	422704	1.20773	36328.6	8.59433	0.726572	105184	0.300526	13691	13.0162	0.27382
7 7	158028	0.451509	29491.3	18.6621	0.589826	0	0	0	-1.#IND	0
7 6	422831	1.20809	55312.8	13.0815	1.10626	106127	0.30322	18549	17.4781	0.37098
7 5	422061	1.20589	50330	11.9248	1.0066	105483	0.30138	17165	16.2728	0.3433
7 4	422693	1.20769	44694.8	10.5738	0.893896	105663	0.301894	15860	15.01	0.3172
7 3	422194	1.20627	39517.1	9.35994	0.790343	105536	0.301531	14521	13.7593	0.29042
7 2	423298	1.20942	34478.6	8.14523	0.689572	105894	0.302554	13297	12.5569	0.26594
6 6	158203	0.452009	27123.5	17.1447	0.542469	0	0	0	-1.#IND	0
6 5	422209	1.20631	52907	12.531	1.05814	105861	0.30246	17936	16.943	0.35872
6 4	421752	1.20501	47486.5	11.2593	0.94973	105638	0.301823	16522	15.6402	0.33044
6 3	421905	1.20544	41795.7	9.90641	0.835913	105551	0.301574	15043	14.2519	0.30086
6 2	422564	1.20733	36663.5	8.67643	0.733269	105542	0.301549	13628	12.9124	0.27256
5 5	157787	0.45082	25435.6	16.1202	0.508713	0	0	0	-1.#IND	0
5 4	422695	1.2077	50565.9	11.9627	1.01132	105931	0.30266	17383	16.4097	0.34766
5 3	422318	1.20662	45936.7	10.8773	0.918735	105534	0.301526	16097	15.2529	0.32194
5 2	422959	1.20845	40840.8	9.65597	0.816816	106175	0.303357	14558	13.7113	0.29116
4 4	158652	0.453291	24256.8	15.2893	0.485137	0	0	0	-1.#IND	0
4 3	422030	1.2058	43348.2	10.2714	0.866964	105622	0.301777	15338	14.5216	0.30676
4 2	420975	1.20279	39322.1	9.34072	0.786442	105196	0.30056	14297	13.5908	0.28594
3 3	158197	0.451991	23156.9	14.638	0.463138	0	0	0	-1.#IND	0
3 2	421867	1.20533	36834.8	8.73137	0.736695	104956	0.299874	13360	12.7291	0.2672
2 2	158879	0.45394	22324.3	14.0512	0.446487	0	0	0	-1.#IND	0
