Num Players: 4
Num Rounds: 5000000
Num Hands: 20000000

Hand type	# Hands	% of hands	# rounds won	% of rounds won
High	3484912	17.4246	31373	0.62746
Pair	8766308	43.8315	1206841	24.1368
TwoPair	4700226	23.5011	1689283	33.7857
Set	964064	4.82032	552073	11.0415
Straight	922992	4.61496	653440	13.0688
Flush	605839	3.0292	425775	8.5155
FullHouse	517855	2.58927	407195	8.1439
Quads	33115	0.165575	29482	0.58964
StraighFlush	4125	0.020625	3981	0.07962
RoyalFlush	564	0.00282	557	0.01114

Straight when connector	7.49501
Flush when Suited 	6.50064

Set when pair up	26.0416
Straight when three up	19.2066
Straight when four up	22.9567
Flush when three up	32.6617
Flush when four up	150.16
Full House when pair up	11.2366
Full House when set up	133.603
Full House when two pair up	66.3106
Quad when pair up	0.417455
Quad when set up	16.9198

Starting Hand	# Hands	% hands	# rounds won	% rounds won	% all rounds won	# Hands Suited	% hands Suited	# rounds won Suited	% rounds won Suited	% all rounds won
9 7	241616	1.20808	57364.5	23.742	1.14729	59844	0.29922	16909	28.2551	0.33818
9 6	240970	1.20485	52795.1	21.9094	1.0559	60430	0.30215	16006	26.4868	0.32012
9 5	241519	1.20759	48589.5	20.1183	0.97179	60284	0.30142	14983	24.854	0.29966
9 4	240772	1.20386	44038.2	18.2904	0.880765	60154	0.30077	13869	23.0558	0.27738
9 3	240897	1.20449	43384.4	18.0095	0.867687	59993	0.299965	13795	22.9943	0.2759
9 2	241308	1.20654	41676.8	17.2712	0.833536	60126	0.30063	13240	22.0204	0.2648
8 8	90300	0.4515	34132.8	37.7993	0.682655	0	0	0	-1.#IND	0
8 7	241292	1.20646	57767.1	23.9408	1.15534	60449	0.302245	17083	28.2602	0.34166
8 6	242040	1.2102	53398.2	22.0617	1.06796	60875	0.304375	16213	26.6333	0.32426
8 5	241091	1.20545	48968.4	20.3112	0.979369	60307	0.301535	15214	25.2276	0.30428
8 4	241373	1.20686	44633	18.4913	0.89266	60387	0.301935	14121	23.3842	0.28242
8 3	241102	1.20551	40035.9	16.6054	0.800718	60330	0.30165	12720	21.084	0.2544
8 2	240816	1.20408	39397.8	16.3601	0.787957	60504	0.30252	12864	21.2614	0.25728
7 7	91127	0.455635	31256.9	34.3004	0.625139	0	0	0	-1.#IND	0
7 6	241278	1.20639	53612.9	22.2204	1.07226	60358	0.30179	16210	26.8564	0.3242
7 5	241743	1.20871	49645.6	20.5365	0.992911	60172	0.30086	15071	25.0465	0.30142
7 4	240826	1.20413	45188.1	18.7638	0.903762	60090	0.30045	14316	23.8243	0.28632
7 3	241455	1.20728	41224.2	17.0733	0.824485	60304	0.30152	13288	22.035	0.26576
7 2	242264	1.21132	36744.8	15.1673	0.734897	60772	0.30386	12209	20.0898	0.24418
6 6	90329	0.451645	28454.8	31.5012	0.569095	0	0	0	-1.#IND	0
6 5	242015	1.21008	50347.5	20.8035	1.00695	60694	0.30347	15286	25.1854	0.30572
6 4	241794	1.20897	46406.4	19.1925	0.928128	60795	0.303975	14444	23.7585	0.28888
6 3	242059	1.21029	42422.3	17.5256	0.848446	60486	0.30243	13635	22.5424	0.2727
6 2	240957	1.20478	37771.6	15.6757	0.755432	60566	0.30283	12372	20.4273	0.24744
