Num Players: 4
Num Rounds: 5000000
Num Hands: 20000000

Hand type	# Hands	% of hands	# rounds won	% of rounds won
High	3484912	17.4246	31373	0.62746
Pair	8766308	43.8315	1206841	24.1368
TwoPair	4700226	23.5011	1689283	33.7857
Set	964064	4.82032	552073	11.0415
Straight	922992	4.61496	653440	13.0688
Flush	605839	3.0292	425775	8.5155
FullHouse	517855	2.58927	407195	8.1439
Quads	33115	0.165575	29482	0.58964
StraighFlush	4125	0.020625	3981	0.07962
RoyalFlush	564	0.00282	557	0.01114

Straight when connector	7.49501
Flush when Suited 	6.50064

Set when pair up	26.0416
Straight when three up	19.2066
Straight when four up	22.9567
Flush when three up	32.6617
Flush when four up	150.16
Full House when pair up	11.2366
Full House when set up	133.603
Full House when two pair up	66.3106
Quad when pair up	0.417455
Quad when set up	16.9198

Starting Hand	# Hands	% hands	# rounds won	% rounds won	% all rounds won	# Hands Suited	% hands Suited	# rounds won Suited	% rounds won Suited	% all rounds won
8 3	241102	1.20551	40025.4	16.601	0.800508	60330	0.30165	12710	21.0675	0.2542
8 2	240816	1.20408	39384.8	16.3547	0.787695	60504	0.30252	12853	21.2432	0.25706
7 7	91127	0.455635	31247.2	34.2897	0.624944	0	0	0	-1.#IND	0
7 6	241278	1.20639	53604.5	22.2169	1.07209	60358	0.30179	16203	26.8448	0.32406
7 5	241743	1.20871	49635.7	20.5324	0.992715	60172	0.30086	15063	25.0332	0.30126
7 4	240826	1.20413	45182.3	18.7614	0.903647	60090	0.30045	14306	23.8076	0.28612
7 3	241455	1.20728	41214.2	17.0691	0.824285	60304	0.30152	13277	22.0168	0.26554
7 2	242264	1.21132	36735	15.1632	0.7347	60772	0.30386	12197	20.0701	0.24394
6 6	90329	0.451645	28453.8	31.5001	0.569075	0	0	0	-1.#IND	0
6 5	242015	1.21008	50339.2	20.8	1.00678	60694	0.30347	15278	25.1722	0.30556
6 4	241794	1.20897	46396.3	19.1883	0.927925	60795	0.303975	14434	23.7421	0.28868
6 3	242059	1.21029	42410.4	17.5207	0.848207	60486	0.30243	13625	22.5259	0.2725
6 2	240957	1.20478	37760.7	15.6711	0.755214	60566	0.30283	12362	20.4108	0.24724
5 5	90664	0.45332	25991.4	28.6679	0.519829	0	0	0	-1.#IND	0
5 4	240507	1.20254	47579.1	19.7828	0.951581	60285	0.301425	14499	24.0508	0.28998
5 3	241153	1.20577	44202.6	18.3297	0.884051	60353	0.301765	13932	23.0842	0.27864
5 2	241279	1.2064	39881.2	16.5291	0.797625	60340	0.3017	12794	21.2032	0.25588
4 4	90484	0.45242	23815.7	26.3203	0.476313	0	0	0	-1.#IND	0
4 3	241119	1.2056	42078	17.4511	0.84156	60237	0.301185	13277	22.0413	0.26554
4 2	241566	1.20783	38294.2	15.8525	0.765885	60838	0.30419	12365	20.3245	0.2473
3 3	90233	0.451165	21857	24.2229	0.43714	0	0	0	-1.#IND	0
3 2	240962	1.20481	36240.1	15.0398	0.724802	60485	0.302425	11921	19.709	0.23842
2 2	90708	0.45354	19883.1	21.9199	0.397662	0	0	0	-1.#IND	0
