Num Players: 5
Num Rounds: 5000000
Num Hands: 25000000

Hand type	# Hands	% of hands	# rounds won	% of rounds won
High	4353548	17.4142	9570	0.1914
Pair	10960855	43.8434	980901	19.618
TwoPair	5870074	23.4803	1618654	32.3731
Set	1205538	4.82215	628497	12.5699
Straight	1154980	4.61992	749773	14.9955
Flush	760294	3.04118	490298	9.80596
FullHouse	647337	2.58935	479847	9.59694
Quads	41549	0.166196	36847	0.73694
StraighFlush	5233	0.020932	5035	0.1007
RoyalFlush	592	0.002368	578	0.01156

Straight when connector	7.49105
Flush when Suited 	6.54306

Set when pair up	32.527
Straight when three up	24.0091
Straight when four up	28.6773
Flush when three up	40.9667
Flush when four up	187.643
Full House when pair up	14.0433
Full House when set up	166.63
Full House when two pair up	82.8249
Quad when pair up	0.530079
Quad when set up	21.2017

Starting Hand	# Hands	% hands	# rounds won	% rounds won	% all rounds won	# Hands Suited	% hands Suited	# rounds won Suited	% rounds won Suited	% all rounds won
9 7	302295	1.20918	58096.1	19.2183	1.16192	75664	0.302656	17918	23.681	0.35836
9 6	301940	1.20776	52596.4	17.4195	1.05193	75525	0.3021	16554	21.9186	0.33108
9 5	300983	1.20393	47405.3	15.7502	0.948106	75443	0.301772	15445	20.4724	0.3089
9 4	301308	1.20523	42623	14.146	0.852461	75501	0.302004	14283	18.9176	0.28566
9 3	302115	1.20846	42071.7	13.9257	0.841434	75583	0.302332	13951	18.4579	0.27902
9 2	301396	1.20558	40447	13.4199	0.80894	75436	0.301744	13798	18.291	0.27596
8 8	112795	0.45118	33207.8	29.4409	0.664157	0	0	0	-1.#IND	0
8 7	302707	1.21083	58033.7	19.1716	1.16067	75704	0.302816	17725	23.4136	0.3545
8 6	302136	1.20854	53266.7	17.6301	1.06533	75442	0.301768	16802	22.2714	0.33604
8 5	301132	1.20453	48350.4	16.0562	0.967009	75563	0.302252	15486	20.4942	0.30972
8 4	303002	1.21201	43462	14.3438	0.869239	75850	0.3034	14508	19.1272	0.29016
8 3	301875	1.2075	39161.1	12.9726	0.783223	75772	0.303088	13390	17.6714	0.2678
8 2	300827	1.20331	37796.6	12.5642	0.755932	74878	0.299512	12800	17.0945	0.256
7 7	113240	0.45296	30347.2	26.7991	0.606945	0	0	0	-1.#IND	0
7 6	301501	1.206	54187.7	17.9726	1.08375	75466	0.301864	16944	22.4525	0.33888
7 5	301647	1.20659	49352.6	16.361	0.987051	75095	0.30038	15673	20.8709	0.31346
7 4	301765	1.20706	44729	14.8225	0.89458	75822	0.303288	14719	19.4126	0.29438
7 3	301859	1.20744	40286.2	13.346	0.805723	75963	0.303852	13762	18.1167	0.27524
7 2	302011	1.20804	35344.6	11.7031	0.706892	75838	0.303352	12410	16.3638	0.2482
6 6	112709	0.450836	27514.9	24.4124	0.550298	0	0	0	-1.#IND	0
6 5	301511	1.20604	50670.2	16.8054	1.0134	75701	0.302804	16080	21.2415	0.3216
6 4	301930	1.20772	45971.2	15.2258	0.919425	75477	0.301908	14964	19.8259	0.29928
6 3	301761	1.20704	41612.6	13.7899	0.832252	75447	0.301788	13902	18.4262	0.27804
6 2	300990	1.20396	37216.6	12.3647	0.744332	74941	0.299764	12714	16.9653	0.25428
5 5	112762	0.451048	25279.1	22.4181	0.505582	0	0	0	-1.#IND	0
5 4	301963	1.20785	48633.8	16.1059	0.972676	75349	0.301396	15620	20.7302	0.3124
5 3	301042	1.20417	44106.2	14.6512	0.882123	75457	0.301828	14330	18.9909	0.2866
5 2	301252	1.20501	39674.7	13.1699	0.793494	75119	0.300476	13384	17.8171	0.26768
4 4	112997	0.451988	23306.2	20.6255	0.466123	0	0	0	-1.#IND	0
4 3	301728	1.20691	42262.1	14.0067	0.845241	75421	0.301684	13795	18.2907	0.2759
4 2	302187	1.20875	37797.4	12.508	0.755949	75561	0.302244	12754	16.8791	0.25508
3 3	112978	0.451912	21777.9	19.2762	0.435557	0	0	0	-1.#IND	0
3 2	301943	1.20777	35968.7	11.9124	0.719373	75195	0.30078	12246	16.2857	0.24492
2 2	113034	0.452136	19967.7	17.6652	0.399354	0	0	0	-1.#IND	0
