Num Players: 3
Num Rounds: 5000000
Num Hands: 15000000

Hand type	# Hands	% of hands	# rounds won	% of rounds won
High	2610921	17.4061	98399	1.96798
Pair	6576371	43.8425	1499054	29.9811
TwoPair	3525742	23.5049	1696611	33.9322
Set	723263	4.82175	462129	9.24258
Straight	691950	4.613	539023	10.7805
Flush	453815	3.02543	352182	7.04364
FullHouse	389240	2.59493	326389	6.52778
Quads	25218	0.16812	22791	0.45582
StraighFlush	3113	0.0207533	3060	0.0612
RoyalFlush	367	0.00244667	362	0.00724

Straight when connector	7.46958
Flush when Suited 	6.4983

Set when pair up	19.5401
Straight when three up	14.3821
Straight when four up	17.2001
Flush when three up	24.4504
Flush when four up	112.093
Full House when pair up	8.41623
Full House when set up	100.658
Full House when two pair up	49.8581
Quad when pair up	0.328722
Quad when set up	12.7385

Starting Hand	# Hands	% hands	# rounds won	% rounds won	% all rounds won	# Hands Suited	% hands Suited	# rounds won Suited	% rounds won Suited	% all rounds won
9 7	180290	1.20193	56762	31.4837	1.13524	44792	0.298613	16023	35.772	0.32046
9 6	181046	1.20697	53252.4	29.4138	1.06505	45316	0.302107	15408	34.0012	0.30816
9 5	181200	1.208	49842.8	27.5071	0.996856	45341	0.302273	14684	32.3857	0.29368
9 4	180684	1.20456	45916.3	25.4125	0.918325	45159	0.30106	13469	29.8257	0.26938
9 3	180790	1.20527	44810.8	24.7861	0.896217	45066	0.30044	13463	29.874	0.26926
9 2	181354	1.20903	43628.3	24.057	0.872565	45242	0.301613	12950	28.6238	0.259
8 8	68094	0.45396	33786.9	49.618	0.675738	0	0	0	-1.#IND	0
8 7	180657	1.20438	55793	30.8834	1.11586	45270	0.3018	15914	35.1535	0.31828
8 6	180419	1.20279	52900.1	29.3207	1.058	45065	0.300433	15351	34.0641	0.30702
8 5	181070	1.20713	49717.1	27.4574	0.994341	44952	0.29968	14550	32.3679	0.291
8 4	181300	1.20867	45896	25.315	0.917921	45476	0.303173	13833	30.4182	0.27666
8 3	180741	1.20494	42420.4	23.4703	0.848409	45175	0.301167	12906	28.5689	0.25812
8 2	181189	1.20793	41245.4	22.7637	0.824907	45208	0.301387	12558	27.7783	0.25116
7 7	68173	0.454487	31737.8	46.5547	0.634755	0	0	0	-1.#IND	0
7 6	181183	1.20789	52947.5	29.2232	1.05895	45469	0.303127	15449	33.977	0.30898
7 5	181571	1.21047	49394.5	27.204	0.987891	45271	0.301807	14440	31.8968	0.2888
7 4	180880	1.20587	45990	25.4257	0.9198	44915	0.299433	13553	30.1748	0.27106
7 3	180570	1.2038	42562.6	23.5712	0.851252	45022	0.300147	12858	28.5594	0.25716
7 2	181681	1.21121	38924.9	21.4248	0.778497	45548	0.303653	12149	26.673	0.24298
6 6	68064	0.45376	29382.1	43.1683	0.587642	0	0	0	-1.#IND	0
6 5	182511	1.21674	50208.9	27.51	1.00418	45615	0.3041	14692	32.2087	0.29384
6 4	181130	1.20753	46777	25.8251	0.93554	45194	0.301293	13821	30.5815	0.27642
6 3	180564	1.20376	43058.1	23.8464	0.861162	45042	0.30028	12762	28.3336	0.25524
6 2	180398	1.20265	39404.1	21.8429	0.788083	45081	0.30054	12137	26.9227	0.24274
5 5	67898	0.452653	26947.7	39.6886	0.538955	0	0	0	-1.#IND	0
5 4	180846	1.20564	47265.5	26.1358	0.945311	45251	0.301673	13920	30.7618	0.2784
5 3	180520	1.20347	44211.4	24.4912	0.884229	45356	0.302373	13294	29.3103	0.26588
5 2	181141	1.20761	41031.2	22.6515	0.820623	45242	0.301613	12503	27.6358	0.25006
4 4	67820	0.452133	25071.9	36.9683	0.501438	0	0	0	-1.#IND	0
4 3	181352	1.20901	42576.6	23.4773	0.851532	45420	0.3028	12744	28.0581	0.25488
4 2	181072	1.20715	39341.6	21.7271	0.786833	45578	0.303853	12141	26.6379	0.24282
3 3	67652	0.451013	22725.6	33.5918	0.454511	0	0	0	-1.#IND	0
3 2	181089	1.20726	37570.6	20.747	0.751412	45491	0.303273	11649	25.6073	0.23298
2 2	68120	0.454133	20853.5	30.6129	0.41707	0	0	0	-1.#IND	0
